"login","n_commits","inner_indegree","inner_outdegree","inner_betweenness","inner_incloseness","inner_outcloseness","outer_indegree","outer_outdegree","outer_betweenness","outer_incloseness","outer_outcloseness"
"0b10011",1,0,0,0,0.000938086303939962,0.000938086303939962,5,0,0,4.03346811812539e-11,2.17319571730358e-11
"0x00A",1,0.0591549295774648,0.0366197183098592,0.0105298300487988,0.00201710657898724,0.00292945380127576,974,38,45293572.2637754,4.03343202157870e-11,6.95394880516269e-11
"3rd-Eden",4,0.0431924882629108,0.0422535211267606,0.00879678097636445,0.00201678189782017,0.00292917985714404,599,88,105601595.981244,4.03342972217979e-11,6.95407555513021e-11
"7coder7",1,0,0.0028169014084507,0,0.000938086303939962,0.00292976003477199,14,31,1736662.16556855,4.03339884990402e-11,6.9540817828293e-11
"9Y5",1,0,0.00469483568075117,0,0.000938086303939962,0.00293546928920299,9,26,902673.428596867,4.03339587183007e-11,6.95394087842606e-11
"ALJCepeda",3,0,0,0,0.000938086303939962,0.000938086303939962,2,0,0,2.17321597925609e-11,2.17319571730358e-11
"AdriVanHoudt",9,0.0028169014084507,0.00375586854460094,0.00101574358431289,0.00201785947740282,0.000941619585687382,41,7,1180573.93327099,4.03340520821887e-11,6.95393776131631e-11
"AelMalinka",1,0,0,0,0.000938086303939962,0.000938086303939962,2,1,98936,4.03346815066312e-11,2.17320584823261e-11
"AlexYursha",4,0.000938967136150235,0.00375586854460094,0,0.00201189378712086,0.00292131379573296,10,24,791836.088538476,4.03341518074672e-11,6.95394840089482e-11
"AlexeyKupershtokh",1,0.00187793427230047,0.00187793427230047,0,0.00201362077375978,0.00292571164845308,16,16,2146406.6394659,4.0334116879161e-11,6.95393872362572e-11
"Alexis374",1,0,0,0,0.000938086303939962,0.000938086303939962,24,8,2860978.60242182,4.0334005561247e-11,6.95394110086962e-11
"Alhadis",1,0,0.000938967136150235,0,0.000938086303939962,0.000938967136150235,32,7,692640,4.0338838395814e-11,2.17326663579042e-11
"AllenSH12",1,0.00187793427230047,0,0,0.00201745429471503,0.000938086303939962,8,14,868110.894380638,4.03339624307230e-11,6.95393712783639e-11
"Amery2010",1,0.000938967136150235,0,0,0.00201593439979102,0.000938086303939962,10,7,298717.006777993,4.03339624339767e-11,6.95393895670774e-11
"AndreasMadsen",77,0.0215962441314554,0.028169014084507,0.00243450442129122,0.00201624735663345,0.00292667644973536,105,15,3743824.11288049,4.03342109953853e-11,6.95394984581418e-11
"AnnaMag",1,0,0,0,0.000938086303939962,0.000938086303939962,5,0,0,4.03350330684869e-11,2.17319571730358e-11
"AvianFlu",5,0.0309859154929577,0.0666666666666667,0.00662829678815663,0.00201642296033611,0.00292973585611558,245,144,27555972.8060082,4.03342872556833e-11,6.95395431791112e-11
"Benjamin-Waters",3,0,0.000938967136150235,0,0.000938086303939962,0.00292707863809765,19,27,2177232.95527543,4.03402230334229e-11,2.17346928554549e-11
"Benvie",6,0.0187793427230047,0.00845070422535211,0.000367048549515471,0.00201634278963392,0.00292631457469521,240,20,11839690.9035557,4.0334289578832e-11,6.95393944801761e-11
"BethGriggs",1,0,0,0,0.000938086303939962,0.000938086303939962,8,5,1379515.75933989,4.03339175433203e-11,6.95393402040143e-11
"BlackYoup",1,0.000938967136150235,0,0,0.00201593439979102,0.000938086303939962,17,14,2908505.60167753,4.03339176734663e-11,6.95381067014647e-11
"BlueHaunter",3,0,0,0,0.000938086303939962,0.000938086303939962,1,0,0,2.17320584823261e-11,2.17319571730358e-11
"BrendonPierson",1,0,0,0,0.000938086303939962,0.000938086303939962,9,13,2070292.32191231,4.03339175563349e-11,6.95393704272764e-11
"BridgeAR",1,0.000938967136150235,0.0169014084507042,2.95015077366336e-06,0.00201188998645516,0.00292690970552265,35,28,3297476.73043442,4.03341169735178e-11,6.95394758655632e-11
"CGavrila",1,0.00375586854460094,0.00375586854460094,0.000127204693425549,0.00201327057222254,0.00291832792141066,7,3,281533.563123902,4.03350224479893e-11,2.17322611037404e-11
"CarterA",1,0.00187793427230047,0,0,0.00201975376072461,0.000938086303939962,26,8,3090285.7112692,4.03341016291594e-11,6.95380733748819e-11
"ChALkeR",30,0.0122065727699531,0.00375586854460094,6.4748283972439e-05,0.00201533165925189,0.00291957596243205,115,7,5386390.5491892,4.03342421820966e-11,6.95393624676756e-11
"Chris911",1,0.000938967136150235,0,0,0.00201593439979102,0.000938086303939962,47,34,5662631.92973131,4.03340518967294e-11,6.95393875264008e-11
"ChrisWren",1,0.00563380281690141,0.0225352112676056,0.000901716548229703,0.00201495798859893,0.0029279477423186,127,172,14062871.8428041,4.03341740529416e-11,6.95395351807848e-11
"ChuckLangford",1,0.000938967136150235,0.000938967136150235,0,0.00201189378712086,0.00292276490815932,2,4,394143.559875344,4.03339174912619e-11,6.95394640373484e-11
"Connorhd",1,0.000938967136150235,0,0,0.00201873538075434,0.000938086303939962,47,0,0,4.0341823579514e-11,2.17319571730358e-11
"CraigCav",1,0,0,0,0.000938086303939962,0.000938086303939962,6,10,737429.612882632,2.17325650429463e-11,6.95476686155589e-11
"Crazometer",1,0,0,0,0.000938086303939962,0.000938086303939962,0,0,0,0,0
"DTrejo",5,0.015962441314554,0.00469483568075117,0.000251207306957362,0.00201633897214044,0.00292462700707677,134,16,10849765.9945194,4.03342814413054e-11,6.95394991835031e-11
"DaftMonk",1,0,0,0,0.000938086303939962,0.000938086303939962,302,10,22169067.1482591,4.03340319224501e-11,6.95394031844865e-11
